少年,1.08,1.46
野球,1.46,1.84
で,1.84,2.07
小学校,2.07,2.72
は,2.72,2.79
約,2.79,3.05
やって,3.05,3.28
ました,3.28,3.49
けど,3.49,3.72
うん,3.76,4.14
部活,4.33,4.69
は,4.69,4.75
別,4.75,5.0
で,5.0,5.21
それ,6.41,6.54
それ,6.54,6.74
は,6.74,6.81
ね,6.81,6.93
俺,6.93,7.07
は,7.07,7.24
D_アノー,7.3,7.79
焼き,7.79,8.03
ぐらい,8.03,8.33
しか,8.33,8.46
なかった,8.46,8.74
ん,8.74,9.61
勝つ,10.71,10.96
と,10.96,11.06
して,11.06,11.25
おります,11.25,11.61
D_ア,11.64,11.91
そう,11.91,12.11
に,12.11,12.26
中学校,12.54,13.15
は,13.15,13.27
バスケットボール,13.27,14.23
D_ア,15.27,15.48
音楽,15.48,15.98
したんです,15.98,16.39
か,16.39,16.46
バスケ,16.46,16.72
やって,16.72,16.98
そう,16.98,17.3
やっぱり,18.41,18.9
院長,18.9,19.15
が,19.15,19.22
でかい,19.22,19.5
D_ア,20.05,20.23
そう,20.23,20.86
ですよね,20.86,21.33
めっちゃ,21.33,21.72
好き,21.72,21.87
です,22.48,22.99
バスケ,23.02,23.33
やって,23.33,23.58
そう,23.58,23.78
やって,24.23,24.54
やって,24.54,24.76
下さい,24.76,25.29
ダンク,25.57,25.85
シュート,25.85,26.09
とか,26.09,26.37
できる,26.37,26.8
段階,26.9,27.35
でも,27.35,27.53
できない,27.53,27.89
サービス,27.89,28.26
ですか,28.26,28.59
うん,28.63,29.24
身長,29.84,30.24
結構,30.24,30.48
高い,30.48,30.73
から,30.73,31.06
雑務,31.5,31.99
D_アノー,32.61,32.93
できる,32.93,33.17
かな,33.17,33.39
