陸上部,1.05,1.61
はい,1.81,2.03
うん,2.06,2.48
運動部,2.51,2.99
馬,3.53,3.87
に,3.87,3.95
入ると,3.95,4.3
南,4.3,4.59
朋,4.59,4.82
自動的,4.82,5.26
に,5.26,5.57
そして,5.79,6.09
D_アノー,6.09,6.32
年間,6.32,6.85
で,6.85,7.23
水泳,7.32,7.81
の,7.81,8.13
期間,8.44,8.79
が,8.79,8.9
あったり,8.9,9.48
バスケットボール,9.74,10.59
やる,10.59,10.81
期間,10.81,11.14
が,11.14,11.22
あったり,11.22,11.51
D_マ,11.51,11.87
確かに,11.87,12.42
期間,12.42,12.72
が,12.72,12.79
あったり,12.79,13.06
って,13.06,13.23
いう,13.23,13.33
感じ,13.33,13.62
で,13.97,14.32
D_ア,14.35,14.51
それで,14.51,14.8
陸上,14.8,15.49
部,15.55,15.73
って,15.73,15.97
のは,15.97,16.46
小学校,17.03,17.85
笑,19.26,19.54
この,19.54,19.77
サウンド,19.77,20.25
入ったら,20.25,20.63
もう,20.63,20.81
なんか,20.81,21.21
何でも,21.27,21.6
やれる,21.6,21.85
けど,21.85,22.27
休み,23.94,24.38
の,24.38,24.58
期間,25.15,25.43
が,25.43,25.5
決まって,25.5,25.8
角,25.8,26.03
寝る,26.03,26.3
と,26.3,26.41
して,26.41,26.58
上中,26.58,27.09
です,27.09,27.27
はい,27.3,27.55
夏,27.58,27.88
は,27.88,27.95
何,27.95,28.14
やって,28.14,28.85
冬,29.92,30.17
は,30.17,30.42
次,30.42,30.77
あたり,30.77,31.15
そうそう,31.18,31.61
D_アノー,31.66,32.17
凄い,32.17,32.5
な,32.5,32.7
