なんか,1.21,1.7
筋肉,1.88,2.25
長,2.25,2.64
これ,2.71,2.9
を,2.9,2.97
つけよう,2.97,3.28
と,3.28,3.34
思った,3.34,3.64
けど,3.64,3.79
さ,3.79,4.06
はい,4.11,4.35
この,4.67,4.93
食生活,4.93,5.53
逆さ,5.53,5.96
に,6.64,6.72
しても,6.72,7.0
いいかな,7.0,7.34
と,7.34,7.45
思う,7.45,7.57
うん,8.29,9.18
最近,9.21,9.65
は,9.65,9.81
朝,9.81,10.03
が,10.03,10.11
全然,10.11,10.51
食べれ,10.51,10.88
ない,10.88,11.07
D_アノー,11.94,12.14
朝,12.14,12.34
起きて,12.34,12.9
米,13.57,13.87
を,13.87,14.08
米,14.89,15.2
を,15.2,15.29
食べる,15.29,15.66
ように,15.66,15.92
して,15.92,16.13
ます,16.13,16.39
D_ア,16.5,16.82
やっぱ,17.5,17.88
食事,18.22,18.62
の,18.62,18.7
量,18.7,18.86
を,18.86,18.89
増やす,18.89,19.33
そう,19.4,19.63
も,19.63,19.71
いかない,19.71,20.08
多分,20.27,20.58
増やした,20.58,21.0
方,21.0,21.17
が,21.17,21.29
いい,21.29,21.4
と,21.4,21.51
思います,21.51,21.83
筋,23.09,23.37
トレ,23.37,23.62
すると,23.62,23.94
する,24.22,24.52
ん,24.52,24.61
だったら,24.61,25.12
人,25.54,25.78
ですか,25.78,26.01
必要,27.0,27.46
以上,27.46,27.66
に,27.66,28.05
タンパク質,28.08,28.56
を,28.56,28.62
いっしょ,28.62,28.84
に,28.84,28.93
なる,28.93,29.1
ん,29.1,29.15
で,29.15,29.25
D_ア,29.25,29.39
そう,29.39,29.66
だし,29.66,29.96
かなり,29.96,30.53
何か,30.72,30.96
一,30.96,31.22
二週間,31.22,31.77
で,31.77,31.88
体重,31.88,32.23
が,32.23,32.35
増える,32.35,32.67
ぐらい,32.67,33.0
は,33.0,33.42
そんなに,33.45,33.9
食べた,34.25,34.63
方,34.63,34.83
が,34.83,35.12
効率,35.21,35.64
が,35.64,35.74
いい,35.74,35.86
って,35.86,36.02
話,36.02,36.27
なん,36.27,36.46
じゃない,36.46,36.69
です,36.69,36.82
効率,36.82,37.16
の,37.16,37.25
話,37.25,37.61
筋肉,38.03,38.74
