そんな,2.29,2.64
オリンピック,2.64,3.18
気配,3.18,3.56
何,6.27,6.53
する,6.53,6.75
んだろう,6.75,7.25
うん,7.82,8.53
かぁ,8.53,8.97
D_ソノ,9.21,9.81
や,10.17,10.41
リスト,10.41,10.77
その,11.07,11.42
開催,11.42,11.94
の,11.94,12.06
ほう,12.06,12.29
の,12.29,12.39
人,12.39,12.62
と,12.62,12.75
さあ,12.75,13.1
空港,13.91,14.33
の,14.33,14.42
人たち,14.42,14.83
と,14.83,14.9
いたし,14.9,15.16
なんか,17.83,18.26
どっちも,18.26,18.76
どっち,19.16,19.49
も,19.49,19.58
欲しい,19.58,19.95
ので,20.32,20.66
で,21.15,21.26
その,21.26,21.54
開催,21.54,22.02
の,22.02,22.13
ほう,22.13,22.35
の,22.35,22.45
人,22.45,22.73
は,22.73,23.05
八万人,23.36,24.01
欲しく,24.01,24.33
メゾン,25.55,25.97
八万人,26.0,26.73
八万人,26.73,27.48
ねえ,28.8,29.2
で,30.01,30.14
その,30.14,30.39
空港,30.39,30.92
とか,30.92,31.39
の,31.44,31.54
人,31.54,31.77
が,31.77,31.86
三万人,31.86,32.46
欲しい,32.46,32.82
