オリンピック,1.38,1.85
が,1.85,1.91
見たい,1.91,2.21
何か,2.7,2.92
その,2.92,3.09
時,3.09,3.42
と,3.53,3.79
ちょっと,3.79,4.06
辞めた,4.06,4.56
時,4.56,4.82
で,4.82,5.0
バイト,5.39,5.69
して,5.69,5.86
なかった,5.86,6.24
今,6.66,6.87
です,6.87,7.16
D_エ,10.55,10.65
なんか,10.65,10.95
生,11.55,11.77
の,11.77,11.9
雄,11.9,12.12
それ,12.2,12.43
は,12.43,12.54
卓球,12.54,13.08
なんか,17.48,18.05
私,18.05,18.45
に,19.87,20.19
好きな,20.19,20.5
選手,20.5,20.81
が,20.81,20.9
いる,20.9,21.04
から,21.04,21.35
なんか,21.98,22.22
よく,22.22,22.47
だけど,22.67,23.13
汗,24.81,25.1
では,25.1,25.3
ない,25.3,25.61
