001,2.7850,3.6250,A:,あ、はーい
002,5.7100,6.4050,A:,わかりました。
003,11.2500,11.5075,A:,あ
004,19.6525,20.6625,A:,よいしょと
005,25.8275,29.2925,A:,うん、赤まっかっかだぜ。{笑}え羽は持ってっていいのね？
006,32.3400,33.1175,A:,羽は取ったよ。
007,33.5550,33.9925,A:,あと
008,37.4925,37.9450,A:,持ってっていい？
009,40.6075,42.5625,A:,よかった。指輪イッコも着けてなかったんだ。まだ
010,43.1150,43.4250,A:,{笑}
011,44.8925,45.0900,A:,この
012,47.1200,48.5900,A:,首飾り？、これ
013,53.2125,53.9550,A:,わかりました。
014,62.3400,65.9525,A:,もうねー見えない。、ほんと、{笑}ランが、ほとんど見えない。
015,69.1300,69.7700,A:,上から
016,71.0575,72.1850,A:,上からヨンダンの
017,72.7000,73.6600,A:,とこまでしか見えないって。
018,78.1325,80.8175,A:,えー倉庫がいっぱいあるね。あ倉庫イチがその
019,81.7375,82.9925,A:,倉庫がいっぱいあんのは何？これ
020,84.0475,84.3325,A:,{笑}
021,84.8625,86.5600,A:,倉庫イチニサンヨンってあるのね？
022,88.2125,88.7500,A:,へー
023,93.8325,94.2900,A:,なるほど
024,94.9675,95.1375,A:,あ
025,98.4600,102.3275,A:,んー、あのとりあえず倉庫イチのアイテム取ってっただけでいいのかな？
026,103.2100,103.6300,A:,いいのかな？
027,104.3275,104.6575,A:,んじゃあ
028,105.6100,106.1850,A:,あれでこれ
029,111.2575,112.9925,A:,装備できるぶんだけ装備してく？
030,114.2975,115.3750,A:,ほとんど無いけどね。
031,118.9950,120.3850,A:,そうねつけてく感じで
032,121.0225,121.7725,A:,ワーモス
033,124.9725,125.9575,A:,これなん？この
034,126.3700,131.2800,A:,さー最初にもらったさーシリュウの爪とかいうやつ要らないんだけどどうすればいいんだろう？{笑}
035,132.0175,132.1825,A:,{笑}
036,135.1300,136.1850,A:,召喚獣だよ。
037,139.9325,142.3700,A:,召喚獣はアイテム使えなかったと思う。確か
038,142.8475,144.2175,A:,ポーションも確か使えない。
039,144.7025,146.1550,A:,(?ヨシツ)、無用の長物だった。
040,148.2675,148.4350,A:,{笑}
041,151.6700,152.1300,A:,使う。
042,152.5775,155.9650,A:,これで笛吹い、笛吹いてたらさーこれ使えないのかな？
043,158.7650,160.6200,A:,意味無いよね。うん、じゃいいや。なんか
044,161.1375,161.3225,A:,うん
045,162.3025,163.0075,A:,ああ誰かいる？
046,163.4800,163.7900,A:,出るの？
047,167.2000,167.4275,A:,あれ
048,171.6525,172.2050,A:,あのー
049,172.8850,176.6675,A:,うん、え？最初のさーメインクエで最初に入るところでいいの？
050,178.6975,179.6450,A:,そこ違うの？、どこだ？
