はい,1.4,1.84
今,1.87,2.19
どこ,2.19,2.46
に,2.46,2.86
住んで,2.92,3.22
た,3.42,3.52
家,3.52,3.72
は,3.72,3.86
ですね,3.86,4.14
D_アノー,4.14,4.45
西区,4.98,5.45
の,5.45,5.7
浄心,6.1,6.83
って,6.83,6.94
なんですか,6.94,7.63
明日,7.71,7.97
なのは,7.97,8.33
海,9.14,9.5
から,9.5,9.75
すぐ,9.75,10.16
後,10.77,11.19
多い,11.19,11.52
ですね,11.52,11.92
名古屋,13.89,14.19
城,14.19,14.44
の,14.44,14.59
近く,15.11,15.49
D_ア,15.59,16.26
僕,18.86,19.18
は,19.18,19.27
結構,19.27,19.76
D_アノー,19.79,20.13
西側,20.35,20.88
D_アノー,20.88,21.29
北側,21.29,21.79
の,21.79,21.91
雄,21.91,22.12
ですから,22.12,22.44
ねえ,22.44,22.7
D_ア,22.7,23.0
はい,23.0,23.23
ｓａｉｇｅｎｊｉ,23.42,24.11
映画,24.11,24.57
分,24.57,24.74
とか,24.74,24.9
で,24.9,25.18
D_ア,25.21,25.44
いい,25.44,25.65
じゃ,25.65,25.84
ねえ,25.84,26.15
もの,26.15,26.37
たまった,28.03,28.65
