クラッシュ,1.95,2.54
バンディクー,2.54,3.2
足場,3.2,3.69
にくい,3.69,4.1
再々,4.1,4.89
はい,5.16,5.35
D_エート,5.35,5.89
サファイア,6.53,7.1
です,7.1,7.41
その日,8.41,8.91
は,8.91,9.11
もともと,9.11,9.53
ＰＳ,9.53,10.05
ですか,10.56,11.05
朝,12.44,12.69
も,12.69,12.83
知らない,12.83,13.16
そう,13.97,14.25
言えば,14.25,14.53
そう,14.53,15.0
では,15.0,15.16
ない,15.16,15.32
か,15.32,15.45
そうか,16.71,17.26
二,17.29,17.58
は,17.58,17.92
結構,17.92,18.51
いい,18.95,19.16
スポーツ,19.16,19.56
とか,19.56,20.04
D_マ,20.18,20.55
その,20.88,21.19
一年,21.19,21.49
のは,21.49,21.77
きっと,21.77,22.14
水,23.27,23.54
が,23.54,23.64
全く,23.64,24.04
もう,24.53,24.76
半月,24.76,25.14
D_ア,25.7,26.01
はい,26.01,26.19
さん,26.19,26.5
はい,27.62,27.92
って,27.95,28.06
感じ,28.06,28.35
で,28.35,28.73
それ,30.81,31.03
が,31.03,31.19
埋まって,31.19,31.55
る,31.55,31.63
ただ,32.24,32.49
いま,32.49,32.68
の,32.68,32.74
ところ,32.74,33.09
を,33.09,33.33
はい,33.36,33.66
高卒,33.69,34.23
で,34.23,34.32
なさそう,34.32,34.7
な,34.7,34.76
気,34.76,34.9
が,34.9,34.97
D_マ,35.98,36.09
いずれ,36.09,36.49
作りたい,36.49,37.42
