D_マ,0.81,1.0
別に,1.0,1.3
趣味,1.3,1.57
が,1.57,1.78
その,1.78,1.96
共通,1.96,2.38
の,2.38,2.49
もの,2.49,2.66
に,2.66,2.74
する,2.74,2.93
必要,2.93,3.17
ない,3.17,3.4
D_ジャ,4.91,5.37
なんか,6.46,7.01
あと,7.82,8.23
は,8.23,8.41
お勧め,8.41,8.78
ですよ,8.78,9.49
せりか,13.72,14.22
ちゃん,14.22,14.43
アーツ,15.79,16.17
は,16.17,16.29
まず,16.29,16.62
D_アノー,16.65,17.09
ロード,17.13,17.43
が,17.43,17.52
いい,17.52,17.59
ですけど,17.59,18.09
はい,18.34,18.69
で,18.69,19.17
スタート,19.2,19.51
まつげ,19.51,19.86
線,19.86,20.04
で,20.04,20.44
買って,20.47,20.81
やった,20.81,21.17
けど,21.17,21.48
ロード,21.48,21.8
バイク,21.8,22.08
で,22.08,22.36
坂道,22.98,23.47
とか,23.47,23.77
D_ア,23.89,24.36
はい,24.36,24.54
では,24.54,24.73
D_アノー,24.73,24.98
話,24.98,25.25
ですね,25.25,25.53
うん,25.64,25.89
はい,26.2,26.41
それで,26.96,27.49
終り,27.49,27.7
でき,27.7,27.91
私,27.91,28.06
には,28.06,28.26
隙,28.26,28.42
あれば,29.14,29.53
お勧め,29.53,30.08
では,30.08,30.35
ない,30.35,30.5
ですけど,30.5,30.89
はい,31.51,31.74
