この,2.42,2.62
先,2.62,2.88
寝る,2.88,3.11
の,3.11,3.31
好き,3.68,3.89
で,3.89,4.13
気持ち,6.57,6.92
じゃ,6.92,7.21
ね,7.21,7.31
気持ち,10.53,10.93
よく,10.93,11.13
寝る,11.13,11.37
ため,11.37,11.59
に,11.59,11.76
ちょっと,11.76,12.05
夜更かし,12.37,12.82
したい,12.82,13.06
最高,14.11,14.56
の,14.56,14.66
状態,14.66,14.96
で,14.96,15.02
寝てる,15.02,15.37
よ,15.37,15.6
はい,20.74,20.96
眠い,20.96,21.28
時,21.28,21.48
ネット,21.48,21.73
が,21.73,21.91
眠く,25.29,25.78
なって,25.78,26.11
から,26.11,26.38
寝,26.64,26.75
落ち,26.75,27.01
する,27.01,27.3
その,27.61,27.82
直後,27.82,28.16
D_ア,34.64,34.99
そう,35.8,36.03
ですね,36.03,36.32
確かに,36.53,36.88
