D_ジャ,0.53,0.92
その,1.82,2.05
紙,2.05,2.33
に,2.33,2.44
書いて,2.44,2.78
あった,2.78,3.06
のは,3.06,3.67
D_エー,4.63,4.79
ですか,4.79,5.48
無事,5.53,5.81
ですか,5.81,6.29
D_ジャ,8.93,9.45
それ,9.81,10.11
は,10.11,10.54
世界,10.54,11.14
に,11.17,11.48
実在,11.67,12.19
する,12.19,12.41
もの,12.41,12.65
です,12.65,12.93
事前,13.16,13.48
に,13.48,13.54
する,13.54,13.81
D_ジャ,17.04,17.58
それ,17.9,18.15
は,18.15,18.27
人,18.27,18.52
ですか,18.52,19.0
D_エート,19.34,19.5
生き物,19.5,19.95
ですか,19.95,20.41
生き物,21.11,21.52
D_ジャ,23.04,23.47
寄付,23.72,24.29
中,24.29,24.58
で,24.58,24.94
私,25.95,26.15
とか,26.15,26.75
どう,26.78,26.97
ですか,26.97,27.54
動物,27.62,28.17
