D_ア,2.11,2.44
日光浴,4.35,4.89
とか,4.89,5.08
いや,6.28,6.52
違う,6.52,7.0
んですよ,7.0,7.53
裏,8.12,8.4
みたい,8.4,8.82
D_ア,9.57,9.81
知識,9.81,10.1
科学,10.19,10.52
いい,10.85,11.16
ん,11.42,11.9
ですか,11.9,12.15
世の中,12.15,12.48
ですね,12.48,12.87
では,13.49,13.82
ない,13.82,14.06
はず,14.06,14.38
D_ア,14.51,14.86
住んで,14.86,15.21
いる,15.21,15.33
住んで,16.46,16.98
やっぱり,18.27,18.6
住んでる,18.6,18.9
かも,18.9,19.11
なのかな,20.91,21.36
に,21.36,21.48
住んでる,21.48,21.88
うん,23.35,23.51
海,23.51,23.97
鼠,24.0,24.37
形,24.37,24.85
うん,24.91,25.23
そうそう,25.23,25.51
ハリネズミ,25.77,26.39
私,29.85,30.26
ちょっと,30.26,30.75
