Ç§ÇÒ,1.45,2.29
Ç§ÇÒ,4.44,4.68
Ç§ÇÒ,5.84,6.8
ÇÌÇ©Ç¡ÇΩ,7.14,7.57
Ç†ÇÍ,7.7,7.94
Ç©Ç»,7.94,8.23
Ç‹Çæ,8.23,8.61
Ç†ÇÒÇ‹ÇË,8.79,9.4
D_É\Ém,9.59,10.03
Ç»ÇÒÇ©,10.2,10.4
ëΩÇ¢,10.4,10.77
óEé“,11.05,11.57
Ç»ÇÒÇ©,12.27,12.49
à”äOÇ∆,12.49,12.95
Ç¢Ç¢,12.95,13.2
ÇÒ,13.2,13.44
Ç≈Ç‡,13.66,13.89
Ç»ÇÒÇ©,13.89,14.15
ñ îíÇ¢,14.15,14.59
é¿ç€,15.05,15.46
é©ï™,15.46,16.08
Ç≈,16.08,16.37
å©ÇΩÇ≠,17.87,18.2
ÇªÇÃ,19.43,19.72
ÇªÇ§Ç¢Ç§,19.72,20.01
Ç±Ç∆,20.01,20.48
Ç±Ç∆,22.41,22.72
Ç™,22.72,22.83
Ç»Ç¢,22.83,23.07
ämé¿,24.28,24.84
âBÇµÇƒ,24.84,25.23
ÇÈ,25.23,25.32
ÇÃ,25.32,25.42
Ç©Ç‡ÇµÇÍÇ»Ç¢,25.42,25.93
ÇØÇ«,25.93,26.08
ÇªÇ§,28.19,28.6
Ç≈Ç∑ÇÀ,28.6,28.85
é¿ç€,29.66,30.15
Ç…,30.15,30.35
âÔÇ¡Çƒ,30.38,30.72
Ç›Ç»Ç¢,30.72,30.95
Ç∆,30.95,31.07
âΩÇ∆Ç‡,31.07,31.51
Ç«Ç§Ç¢Ç§,31.97,32.34
ä¥Ç∂,32.34,32.69
Ç»ÇÃÇ©,32.77,33.1
ï™Ç©ÇÒÇ»Ç¢,33.64,34.07
Ç©ÇÁ,34.07,34.24
âΩÇ∆Ç‡,34.24,34.84
åæÇ¶Ç»Ç¢,35.26,35.6
ÇØÇ«,35.6,35.82
