D_ウーン,0.87,1.13
なんか,1.13,1.63
それ,2.44,2.6
は,2.6,2.76
何,2.76,3.18
個性,3.21,3.58
の,3.58,3.68
一つ,3.68,4.06
そう,5.05,5.38
髪,5.93,6.2
が,6.2,6.32
長い,6.32,6.62
して,6.62,6.77
ます,6.77,7.05
その後,8.71,9.1
どう,9.1,9.56
いっしょ,10.11,10.6
の,11.58,11.86
何か,12.14,12.42
分類,12.42,12.88
の,12.88,12.98
ひとつ,12.98,13.44
感じ,13.77,14.15
かな,14.15,14.44
って,14.44,14.65
いう,14.65,14.81
ふうに,14.81,15.15
私,15.15,15.43
は,15.43,15.64
思う,15.91,16.21
から,16.21,16.68
別に,17.08,17.64
D_ウーン,18.19,18.62
なんか,18.62,18.86
女の子,18.86,19.38
だから,19.38,19.88
女の子,22.7,23.22
だから,23.22,23.47
女の子,23.47,23.92
五,24.8,25.12
そう,25.47,26.04
別に,26.96,27.5
ない,27.61,27.81
かなって,27.81,28.4
私,28.4,28.67
から,29.21,29.41
は,29.41,29.64
特に,30.15,30.88
D_ウーン,31.6,31.97
なんか,31.97,32.56
ある,33.92,34.06
かな,34.06,34.36
と,34.36,34.43
別に,35.56,36.16
D_ウーン,37.43,37.89
なんだろう,37.89,38.36
