そう,0.87,1.55
で,2.62,2.76
推測,2.76,3.33
の,3.33,3.47
域,3.47,3.67
を,3.67,3.75
出ない,3.75,4.08
から,4.08,4.34
別に,5.67,6.03
いいんじゃない,6.03,6.44
の,6.44,6.62
と,6.62,6.77
思う,6.77,6.92
か,6.92,7.13
相手,9.3,9.63
が,9.63,9.85
そう,10.3,10.74
そう,10.91,11.34
あなた,11.87,12.22
そう,12.22,12.61
かもしれない,12.61,13.08
です,13.08,13.28
札幌,13.28,13.77
そう,14.01,14.34
か,14.95,15.03
わからない,15.03,15.42
でしょう,15.42,15.64
みたいな,15.64,15.9
こと,15.9,16.08
言われる,16.08,16.35
かもしれない,16.35,16.92
し,16.92,17.12
D_ウーン,18.1,18.71
難しい,22.08,22.57
ねえ,22.57,23.31
