うん,0.66,0.93
だから,0.93,1.41
ねえ,1.41,1.77
幸せ,2.4,2.81
に,2.81,2.9
暮らせ,2.9,3.21
たら,3.21,3.38
いい,3.38,3.45
な,3.45,3.58
と,3.58,3.69
思う,3.69,4.01
ほんとに,4.2,4.76
D_マ,6.26,6.52
D_アノー,6.57,6.96
ですよね,7.17,7.56
こう,7.56,7.97
やりたい,7.97,8.42
方向性,8.42,9.08
はい,9.89,10.17
変な,10.67,10.93
とこ,10.93,11.15
に,11.15,11.22
干渉,11.22,11.52
しない,11.52,11.85
限り,12.32,12.63
で,12.63,12.84
D_マ,12.84,13.06
前,13.06,13.24
ほど,13.24,13.43
やって,13.43,13.63
くれるん,13.63,14.45
じゃない,14.45,14.7
かって,14.7,14.96
必要,17.75,17.99
ない,17.99,18.16
よね,18.16,18.42
反対,22.75,23.27
する,23.27,23.47
人,23.47,23.65
は,23.65,23.74
むしろ,23.74,24.11
何が,24.11,24.47
何だか,24.47,24.8
D_ア,25.61,25.79
生理的,25.79,26.38
な,26.38,26.49
嫌悪感,26.49,27.02
みたいな,27.02,27.37
思い,27.37,27.54
と,27.54,27.84
ん,29.91,30.18
じゃ,30.18,30.37
いたい,30.37,30.73
して,30.73,31.03
