D_マ,0.67,0.88
でも,0.88,1.14
なんだかんだ,1.14,1.62
タレント,1.62,2.04
さん,2.04,2.23
とか,2.23,2.44
でも,2.44,2.6
それ,2.6,2.84
を,2.84,2.87
売って,2.87,3.12
いる,3.12,3.23
のかな,3.23,3.57
って,3.57,3.67
結構,3.67,4.02
います,4.02,4.31
よね,4.31,4.47
D_アノー,4.47,4.87
のは,6.02,6.2
二,6.2,6.31
三,6.31,6.58
とか,6.58,7.11
そう,8.15,8.46
ですね,8.46,8.96
春,10.19,10.42
乃,10.42,10.65
さん,10.65,10.84
はい,10.91,11.16
確か,14.44,14.74
は,14.74,14.98
ます,14.98,15.33
よね,15.33,15.55
理由,15.67,15.88
と,15.88,15.99
して,15.99,16.19
は,16.19,16.26
うん,16.26,16.82
凄い,16.82,17.2
多い,17.2,17.46
終わって,18.7,19.17
る,19.17,19.26
方,19.26,19.48
が,19.48,19.58
多い,19.58,19.91
ん,19.91,20.8
です,20.8,21.05
よ,21.05,21.2
