いろんな,0.47,0.74
人,0.74,0.91
が,0.91,1.01
いて,1.01,1.32
いる,2.13,2.24
から,2.24,2.41
楽しい,2.41,2.76
かな,2.76,2.93
私,3.74,3.99
と,8.89,9.02
その,9.02,9.28
ぐらい,9.28,9.5
ですよね,9.5,10.0
流れ,12.36,12.64
に,12.64,12.71
なって,12.71,13.1
きて,13.1,13.37
いる,13.37,13.57
のは,13.57,13.99
うん,13.99,14.45
も,14.45,14.62
蓋,14.62,14.84
も,14.84,14.97
ない,14.97,15.17
ですけど,15.17,15.61
まあ,15.61,15.81
世論,15.81,16.2
的,16.2,16.46
な,16.46,16.54
方向性,16.54,17.08
が,17.08,17.14
多少,17.14,17.37
損,17.37,17.55
ですね,17.55,17.81
今,17.81,17.99
いける,17.99,18.26
って,18.26,18.49
いう,18.49,18.66
か,18.66,18.99
なんか,19.14,19.34
もう,19.34,19.49
国,19.75,20.07
で,20.07,20.17
あんな,20.17,20.39
こと,20.39,20.66
言ってる,20.66,21.03
し,21.03,21.23
こちら,21.68,22.02
も,22.02,22.12
これ,22.12,22.34
で,22.34,22.44
いいんじゃない,22.44,22.94
か,22.94,23.06
みたいなのが,23.06,23.7
もう,23.7,24.04
若い,24.04,24.29
世代,24.29,24.54
の,24.54,24.61
方,24.61,24.83
から,24.83,25.03
ですね,25.86,26.26
つながり,26.6,27.09
が,27.09,27.17
やっぱり,27.17,27.41
D_アノー,27.41,27.6
かなって,27.6,28.14
少し,28.14,28.41
ちょっと,28.41,28.63
