1.568,2.581,‚¤‚ñ
3.106,4.154,
4.586,7.116,‚¤‚ñ‚¤‚ñ
7.299,7.618,‚í‚©‚Á‚½
7.858,9.483,‚ ‚ê‚©‚È‚Ü‚¾‚ ‚ñ‚Ü‚è
9.749,10.06,D_ƒ\ƒm
10.339,10.837,‚È‚ñ‚©‘½‚¢
11.178,11.641,—EŽÒ
12.44,14.755,‚È‚ñ‚©ˆÓŠO‚Æ‚¢‚¢‚ñ‚Å‚à‚È‚ñ‚©–Ê”’‚¢
15.201,16.441,ŽÀÛŽ©•ª‚Å
18.066,18.223,Œ©‚½‚­
19.573,20.525,‚»‚Ì‚»‚¤‚¢‚¤‚±‚Æ
20.905,21.495,
22.487,23.574,‚±‚Æ‚ª‚È‚¢
24.125,26.483,ŠmŽÀ‰B‚µ‚Ä‚é‚Ì‚©‚à‚µ‚ê‚È‚¢‚¯‚Ç
27.357,27.584,
28.099,31.642,‚»‚¤‚Å‚·‚ËŽÀÛ‚É‰ï‚Á‚Ä‚Ý‚È‚¢‚Æ‰½‚Æ‚à
32.201,33.315,‚Ç‚¤‚¢‚¤Š´‚¶‚È‚Ì‚©
33.795,34.866,•ª‚©‚ñ‚È‚¢‚©‚ç‰½‚Æ‚à
35.346,37.456,Œ¾‚¦‚È‚¢‚¯‚Ç
