その,0.81,1.21
アカウント,1.21,1.92
で,1.92,2.08
熱い,2.08,2.42
の,2.42,2.51
場合,2.51,2.76
その,3.06,3.28
単位,3.28,3.65
D_マ,4.42,4.63
体,4.63,4.87
次,5.99,6.23
の,6.23,6.33
D_ソノ,6.92,7.37
わざわざ,7.37,7.84
ある,7.84,7.97
場合,7.97,8.25
うん,9.06,9.36
やる,11.73,11.99
やる,12.41,12.68
必要,12.68,12.97
って,12.97,13.11
いう,13.11,13.47
そんな,13.47,13.87
風に,14.03,14.28
ならない,14.85,15.23
D_アノー,18.61,19.29
ハードル,19.29,19.73
の,19.73,19.84
高さ,19.84,20.3
の,20.3,20.43
私,22.34,22.62
も,22.62,22.73
ストック,22.73,23.15
大学生,26.21,26.75
に,26.75,26.91
なる,26.91,27.19
D_ア,28.0,28.18
地方,28.18,28.52
の,28.52,28.6
人,28.6,28.8
が,28.8,28.89
出て,28.89,29.25
しまいました,29.25,29.74
うん,30.92,31.75
うん,32.51,32.81
